text                                                                   , label
is 11 available?                                                       , 5
what's the status of 14                                                , 5
is slot 15 free                                                        , 5
is slot 16 taken                                                       , 5
tell me about 17                                                       , 5
info on 18                                                             , 5
is 19 occupied                                                         , 5
what about 20?                                                         , 5
is 21 free or taken                                                    , 5
check 22                                                               , 5
status for 23                                                          , 5
is 24 empty                                                            , 5
is 25 full                                                             , 5
what's the status of 1                                                 , 5
what's the status of 2                                                 , 5
what's the status of 3                                                 , 5
what's the status of 4                                                 , 5
what's the status of 5                                                 , 5
what's the status of 6                                                 , 5
what's the status of 7                                                 , 5
what's the status of 8                                                 , 5
what's the status of 9                                                 , 5
what's the status of 10                                                , 5
what's the status of 11                                                , 5
what's the status of 12                                                , 5
what's the status of 13                                                , 5
what's the status of 14                                                , 5
what's the status of 15                                                , 5
what's the status of 16                                                , 5
what's the status of 17                                                , 5
what's the status of 18                                                , 5
what's the status of 19                                                , 5
what's the status of 20                                                , 5
is 1 free                                                              , 5
is 2 free                                                              , 5
is 3 free                                                              , 5
is 4 free                                                              , 5
is 5 free                                                              , 5
is 6 free                                                              , 5
is 7 free                                                              , 5
is 8 free                                                              , 5
is 9 free                                                              , 5
is 10 free                                                             , 5
is 11 free                                                             , 5
is 12 free                                                             , 5
is 13 free                                                             , 5
is 14 free                                                             , 5
is 15 free                                                             , 5
is 16 free                                                             , 5
is 17 free                                                             , 5
is 18 free                                                             , 5
is 19 free                                                             , 5
is 20 free                                                             , 5
is 1 taken                                                             , 5
is 2 taken                                                             , 5
is 3 taken                                                             , 5
is 4 taken                                                             , 5
is 5 taken                                                             , 5
is 6 taken                                                             , 5
is 7 taken                                                             , 5
is 8 taken                                                             , 5
is 9 taken                                                             , 5
is 10 taken                                                            , 5
is 11 taken                                                            , 5
is 12 taken                                                            , 5
is 13 taken                                                            , 5
is 14 taken                                                            , 5
is 15 taken                                                            , 5
is 16 taken                                                            , 5
is 17 taken                                                            , 5
is 18 taken                                                            , 5
is 19 taken                                                            , 5
is 20 taken                                                            , 5
check status of 1                                                      , 5
check status of 2                                                      , 5
check status of 3                                                      , 5
check status of 4                                                      , 5
check status of 5                                                      , 5
check status of 6                                                      , 5
check status of 7                                                      , 5
check status of 8                                                      , 5
check status of 9                                                      , 5
check status of 10                                                     , 5
Show all slots                                                         , 6
List all                                                               , 6
Give me the full map                                                   , 6
Show me the garage status                                              , 6
List every slot                                                        , 6
I want to see the whole parking lot                                    , 6
Display the grid                                                       , 6
What's the overview?                                                   , 6
Show me everything                                                     , 6
show all                                                               , 6
list em all                                                            , 6
full parking status                                                    , 6
show me the full grid                                                  , 6
can i see the whole lot                                                , 6
show me the entire garage                                              , 6
list all parking spots                                                 , 6
display all slots                                                      , 6
show me all the spots                                                  , 6
what's the full layout                                                 , 6
give me the map                                                        , 6
i want to see all spots                                                , 6
show me the parking map                                                , 6
display the full lot                                                   , 6
show me the layout                                                     , 6
list all parking                                                       , 6
show me all parking                                                    , 6
what does the garage look like                                         , 6
show me every spot                                                     , 6
the whole parking lot                                                  , 6
can i see everything                                                   , 6
show me the lot                                                        , 6
show me the parking lot                                                , 6
give me the full list                                                  , 6
show me all the parking                                                , 6
list every parking spot                                                , 6
show me the parking layout                                             , 6
i want to see the map                                                  , 6
show me the full parking map                                           , 6
list of all spots                                                      , 6
show me the status of all                                              , 6
overview of parking                                                    , 6
show me the garage                                                     , 6
full lot status                                                        , 6
all spots                                                              , 6
show me the entire parking                                             , 6
what's the parking lot                                                 , 6
show me the full status                                                , 6
display the garage                                                     , 6
can i see the map                                                      , 6
show me the parking                                                    , 6
what's the parking map                                                 , 6
show me the parking grid                                               , 6
show me the whole thing                                                , 6
give me the parking map                                                , 6
show me the overview                                                   , 6
show me all of the spots                                               , 6
list me all spots                                                      , 6
show me the complete map                                               , 6
full map                                                               , 6
show me the whole garage                                               , 6
display parking                                                        , 6
show me the grid map                                                   , 6
what's the parking layout                                              , 6
show me the parking                                                    , 6
show me all                                                            , 6
list everything                                                        , 6
show me the whole lot status                                           , 6
show me all the parking spots                                          , 6
list all spots                                                         , 6
show me the complete parking                                           , 6
show me the full parking lot                                           , 6
show me the whole parking                                              , 6
what's the full parking status                                         , 6
show me the lot status                                                 , 6
show me the full garage status                                         , 6
display all parking                                                    , 6
show me the parking status                                             , 6
show me all parking status                                             , 6
display the entire lot                                                 , 6
show me the entire parking lot                                         , 6
show me the garage layout                                              , 6
show me the entire parking map                                         , 6
show me the complete parking lot                                       , 6
show me the full parking grid                                          , 6
show me the entire parking grid                                        , 6
show me the complete parking grid                                      , 6
show me the parking lot map                                            , 6
show me the parking lot status                                         , 6
show me the parking lot layout                                         , 6
show me the parking lot grid                                           , 6
show me the parking spots                                              , 6
show me the garage map                                                 , 6
showa ll                                                               , 6
show me all parking lots                                               , 6
show me the parking lots                                               , 6
How many free slots?                                                   , 7
Count available                                                        , 7
How much room is there?                                                , 7
What's the free count?                                                 , 7
Empty spot total                                                       , 7
Is there space for me?                                                 , 7
Do you have any availability?                                          , 7
How many spots are left?                                               , 7
Got a count of the open ones?                                          , 7
how many free                                                          , 7
count open                                                             , 7
available spots number                                                 , 7
How many can park?                                                     , 7
What's the available count?                                            , 7
Number of free spots                                                   , 7
How many openings?                                                     , 7
How many vacant spots?                                                 , 7
Count of empty slots                                                   , 7
What's the availability?                                               , 7
Tell me the free count                                                 , 7
how many spots are open                                                , 7
number of available spots                                              , 7
how many free spots are there                                          , 7
count the free spots                                                   , 7
how many spots free                                                    , 7
how many open                                                          , 7
how many available                                                     , 7
how many spots left                                                    , 7
how many spots are available                                           , 7
how many spots are empty                                               , 7
how many empty spots                                                   , 7
how many open spots                                                    , 7
how many free parking                                                  , 7
how many available parking                                             , 7
how many open parking                                                  , 7
how many empty parking                                                 , 7
how many spots are there                                               , 7
how many parking spots are free                                        , 7
how many parking spots are available                                   , 7
how many parking spots are open                                        , 7
how many parking spots are empty                                       , 7
how many parking spots                                                 , 7
how many spots                                                         , 7
how many parking                                                       , 7
how many                                                               , 7
count free                                                             , 7
count available                                                        , 7
count open                                                             , 7
count empty                                                            , 7
count the free                                                         , 7
count the available                                                    , 7
count the open                                                         , 7
count the empty                                                        , 7
how much space is left                                                 , 7
how many spots are remaining                                           , 7
number of free parking spots                                           , 7
how many free parking spots                                            , 7
how many open spots are there                                          , 7
how many available spots are there                                     , 7
how many empty spots are there                                         , 7
how many parking spots are there                                       , 7
how many parking spots                                                 , 7
number of available                                                    , 7
number of open                                                         , 7
number of empty                                                        , 7
number of free                                                         , 7
how many parking free                                                  , 7
how many parking available                                             , 7
how many parking open                                                  , 7
how many parking empty                                                 , 7
how many free parking spots are there                                  , 7
how many open parking spots are there                                  , 7
how many available parking spots are there                             , 7
how many empty parking spots are there                                 , 7
how many spots are there free                                          , 7
how many spots are there available                                     , 7
how many spots are there open                                          , 7
how many spots are there empty                                         , 7
how many spots are there                                               , 7
how many parking spots are there                                       , 7
how many parking spots                                                 , 7
how many spots                                                         , 7
how many parking                                                       , 7
how many                                                               , 7
count free                                                             , 7
count available                                                        , 7
count open                                                             , 7
count empty                                                            , 7
count the free                                                         , 7
count the available                                                    , 7
count the open                                                         , 7
count the empty                                                        , 7
how much space is left                                                 , 7
how many spots are remaining                                           , 7
How many filled slots?                                                 , 8
Count booked                                                           , 8
How many cars are parked?                                              , 8
What's the occupied count?                                             , 8
Taken spot total                                                       , 8
How full is the garage?                                                , 8
Is it busy today?                                                      , 8
How many cars are in there?                                            , 8
Got a total for the parked cars?                                       , 8
how many taken                                                         , 8
count full                                                             , 8
booked total                                                           , 8
How many spots are used?                                               , 8
What's the filled count?                                               , 8
Number of taken spots                                                  , 8
How many cars?                                                         , 8
How many occupied spots?                                               , 8
Count of filled slots                                                  , 8
What's the occupied number?                                            , 8
Tell me the booked count                                               , 8
how many spots are full                                                , 8
number of filled spots                                                 , 8
how many filled spots are there                                        , 8
count the filled spots                                                 , 8
how many spots full                                                    , 8
how many booked                                                        , 8
how many occupied                                                      , 8
how many spots are booked                                              , 8
how many spots are occupied                                            , 8
how many full spots                                                    , 8
how many taken spots                                                   , 8
how many booked spots                                                  , 8
how many occupied spots                                                , 8
how many full parking                                                  , 8
how many taken parking                                                 , 8
how many booked parking                                                , 8
how many occupied parking                                              , 8
how many cars are there                                                , 8
how many parking spots are full                                        , 8
how many parking spots are taken                                       , 8
how many parking spots are booked                                      , 8
how many parking spots are occupied                                    , 8
how many parking spots                                                 , 8
how many spots                                                         , 8
how many parking                                                       , 8
how many                                                               , 8
count full                                                             , 8
count taken                                                            , 8
count booked                                                           , 8
count occupied                                                         , 8
count the full                                                         , 8
count the taken                                                        , 8
count the booked                                                       , 8
count the occupied                                                     , 8
how many spots are in use                                              , 8
number of taken parking spots                                          , 8
how many taken parking spots                                           , 8
how many full spots are there                                          , 8
how many taken spots are there                                         , 8
how many booked spots are there                                        , 8
how many occupied spots are there                                      , 8
how many parking spots are there                                       , 8
how many parking spots                                                 , 8
number of full                                                         , 8
number of taken                                                        , 8
number of booked                                                       , 8
number of occupied                                                     , 8
how many parking full                                                  , 8
how many parking taken                                                 , 8
how many parking booked                                                , 8
how many parking occupied                                              , 8
how many full parking spots are there                                  , 8
how many taken parking spots are there                                 , 8
how many booked parking spots are there                                , 8
how many occupied parking spots are there                              , 8
how many spots are there full                                          , 8
how many spots are there taken                                         , 8
how many spots are there booked                                        , 8
how many spots are there occupied                                      , 8
how many spots are there                                               , 8
how many parking spots are there                                       , 8
how many parking spots                                                 , 8
how many spots                                                         , 8
how many parking                                                       , 8
how many                                                               , 8
count full                                                             , 8
count taken                                                            , 8
count booked                                                           , 8
count occupied                                                         , 8
count the full                                                         , 8
count the taken                                                        , 8
count the booked                                                       , 8
count the occupied                                                     , 8
how many spots are in use                                              , 8
how many cars are parked?                                              , 8
release all slots                                                      , 9
vacate all slots                                                       , 9
empty all slots                                                        , 9
clear all slots                                                        , 9
free all slots                                                         , 9
release everything                                                     , 9
vacate everything                                                      , 9
empty everything                                                       , 9
clear everything                                                       , 9
free everything                                                        , 9
release all parking                                                    , 9
vacate all parking                                                     , 9
empty all parking                                                      , 9
clear all parking                                                      , 9
free all parking                                                       , 9
release all the slots                                                  , 9
vacate all the slots                                                   , 9
empty all the slots                                                    , 9
clear all the slots                                                    , 9
free all the slots                                                     , 9
make all slots available                                               , 9
make everything available                                              , 9
make all parking available                                             , 9
clear the entire lot                                                   , 9
empty the entire lot                                                   , 9
vacate the entire lot                                                  , 9
free up the entire lot                                                 , 9
release the entire lot                                                 , 9
clear the whole garage                                                 , 9
empty the whole garage                                                 , 9
vacate the whole garage                                                , 9
free the whole garage                                                  , 9
release the whole garage                                               , 9
unbook all slots                                                       , 9
unbook everything                                                      , 9
unbook all parking                                                     , 9
cancel all bookings                                                    , 9
cancel all reservations                                                , 9
remove all bookings                                                    , 9
remove all reservations                                                , 9
clear all bookings                                                     , 9
clear all reservations                                                 , 9
reset all slots                                                        , 9
reset everything                                                       , 9
reset all parking                                                      , 9
free up all slots                                                      , 9
free up everything                                                     , 9
free up all parking                                                    , 9
make all slots free                                                    , 9
make everything free                                                   , 9
make all parking free                                                  , 9
open all slots                                                         , 9
open everything                                                        , 9
open all parking                                                       , 9
release all                                                            , 9
vacate all                                                             , 9
empty all                                                              , 9
clear all                                                              , 9
free all                                                               , 9
unbook all                                                             , 9
cancel all                                                             , 9
reset all                                                              , 9
open all                                                               , 9
everyone leave                                                         , 9
everybody out                                                          , 9
clear the lot                                                          , 9
empty the lot                                                          , 9
vacate the lot                                                         , 9
clear the garage                                                       , 9
empty the garage                                                       , 9
vacate the garage                                                      , 9
release all the parking                                                , 9
free all the parking                                                   , 9
clear all the parking                                                  , 9
empty all the parking                                                  , 9
vacate all the parking                                                 , 9
make all available                                                     , 9
set all to available                                                   , 9
set everything to available                                            , 9
book all slots                                                         , 10
fill all slots                                                         , 10
reserve all slots                                                      , 10
occupy all slots                                                       , 10
take all slots                                                         , 10
book everything                                                        , 10
fill everything                                                        , 10
reserve everything                                                     , 10
occupy everything                                                      , 10
take everything                                                        , 10
book all parking                                                       , 10
fill all parking                                                       , 10
reserve all parking                                                    , 10
occupy all parking                                                     , 10
take all parking                                                       , 10
book all the slots                                                     , 10
fill all the slots                                                     , 10
reserve all the slots                                                  , 10
occupy all the slots                                                   , 10
take all the slots                                                     , 10
make all slots booked                                                  , 10
make everything booked                                                 , 10
make all parking booked                                                , 10
fill the entire lot                                                    , 10
book the entire lot                                                    , 10
reserve the entire lot                                                 , 10
occupy the entire lot                                                  , 10
take the entire lot                                                    , 10
fill the whole garage                                                  , 10
book the whole garage                                                  , 10
reserve the whole garage                                               , 10
occupy the whole garage                                                , 10
take the whole garage                                                  , 10
book all available slots                                               , 10
fill all available slots                                               , 10
reserve all available slots                                            , 10
occupy all available slots                                             , 10
take all available slots                                               , 10
book all free slots                                                    , 10
fill all free slots                                                    , 10
reserve all free slots                                                 , 10
occupy all free slots                                                  , 10
take all free slots                                                    , 10
mark all as booked                                                     , 10
mark everything as booked                                              , 10
mark all parking as booked                                             , 10
set all to booked                                                      , 10
set everything to booked                                               , 10
set all parking to booked                                              , 10
book all                                                               , 10
fill all                                                               , 10
reserve all                                                            , 10
occupy all                                                             , 10
take all                                                               , 10
book the lot                                                           , 10
fill the lot                                                           , 10
reserve the lot                                                        , 10
occupy the lot                                                         , 10
take the lot                                                           , 10
book the garage                                                        , 10
fill the garage                                                        , 10
reserve the garage                                                     , 10
occupy the garage                                                      , 10
take the garage                                                        , 10
book all the parking                                                   , 10
fill all the parking                                                   , 10
reserve all the parking                                                , 10
occupy all the parking                                                 , 10
take all the parking                                                   , 10
make all unavailable                                                   , 10
make everything unavailable                                            , 10
make all parking unavailable                                           , 10
close all slots                                                        , 10
close everything                                                       , 10
close all parking                                                      , 10
set slot 1 to maintenance                                              , 11
set slot 2 to maintenance                                              , 11
set slot 3 to maintenance                                              , 11
set slot 4 to maintenance                                              , 11
set slot 5 to maintenance                                              , 11
set slot 6 to maintenance                                              , 11
set slot 7 to maintenance                                              , 11
set slot 8 to maintenance                                              , 11
set slot 9 to maintenance                                              , 11
set slot 10 to maintenance                                             , 11
mark slot 1 as maintenance                                             , 11
mark slot 2 as maintenance                                             , 11
mark slot 3 as maintenance                                             , 11
mark slot 4 as maintenance                                             , 11
mark slot 5 as maintenance                                             , 11
mark slot 6 as maintenance                                             , 11
mark slot 7 as maintenance                                             , 11
mark slot 8 as maintenance                                             , 11
mark slot 9 as maintenance                                             , 11
mark slot 10 as maintenance                                            , 11
put slot 1 in maintenance                                              , 11
put slot 2 in maintenance                                              , 11
put slot 3 in maintenance                                              , 11
put slot 4 in maintenance                                              , 11
put slot 5 in maintenance                                              , 11
put slot 6 in maintenance                                              , 11
put slot 7 in maintenance                                              , 11
put slot 8 in maintenance                                              , 11
put slot 9 in maintenance                                              , 11
put slot 10 in maintenance                                             , 11
maintenance for slot 1                                                 , 11
maintenance for slot 2                                                 , 11
maintenance for slot 3                                                 , 11
maintenance for slot 4                                                 , 11
maintenance for slot 5                                                 , 11
maintenance for slot 6                                                 , 11
maintenance for slot 7                                                 , 11
maintenance for slot 8                                                 , 11
maintenance for slot 9                                                 , 11
maintenance for slot 10                                                , 11
slot 1 needs maintenance                                               , 11
slot 2 needs maintenance                                               , 11
